ProfessorNom,ProfessorQuantitatGraus,ProfessorQuantitatAssignatures,AssignaturaProfessorPes,gei,gemcd,gext,gesa,gei_gemcd,gei_gext,gei_gesa,gemcd_gext,gemcd_gesa,gesa_gext,gei_gemcd_gext,gei_gemcd_gesa,gei_gesa_gext,gemcd_gesa_gext,gei_gemcd_gesa_gext
Francis Kiptengwer Chemorion,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Francisco Javier Brines Garcia,1,2,5,0,0,0,2,0,0,2,0,2,2,0,2,2,2,2
Gabriel Bernardino Pérez,3,1,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Gemma Piella Fenoy,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1
Genis Margarit Contel,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1
Genís Plaja Roglans,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1
Gerard Llorach Tó,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Gerard Marti Juan,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gergely Neu,2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
Giovanni Geraci,2,1,4,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Giuseppe Cocco,4,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2
Gloria Haro Ortega,4,2,5,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2
Guillem Casacuberta Postils,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guillermo Javier Zeller Sancho,4,3,4,3,1,1,1,3,3,3,1,1,1,3,3,3,1,3
Gustavo Ricardo Deco,1,1,2,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1
Hadrien Calmet,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Horacio Saggion,4,2,6,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2
Ignacio Celis,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jacopo D'Ignazi,1,1,2,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1
Jacopo Epifanio,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Javier Alejandro Galadí Garcia,4,2,5,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2
Javier Segovia Aguas,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jesus Roberto Sanchez Reina,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Joan Antoni Melia Segui,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jordi Bonastre Muñoz,4,3,6,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3
Jordi Bosch Garcia,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jordi Taixés Ventosa,4,4,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Jorge Augusto Saldivar Galli,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jorge Augusto Saldivar Gallí,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1
Jorge Croissier Brito,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Jorge Mateos Arriola,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jose Antonio Ciutad Cuevas,2,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Josep Blat Gimeno,3,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Josep Font Segura,4,3,7,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3
Josep Prados Oliver,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Justo Montoya Galvez,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jyoti Narang,4,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2
Khadija el Aadmi Laamech,4,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2
Luca Telloli,2,1,3,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Ludovic Vincent Schwartz,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manuel Portela Charnejovsky,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marc Grau Leguia,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marc Yoshimi Beardsley,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marcelo Sánchez Ortega,4,3,3,2,2,2,2,2,2,3,2,3,3,2,3,3,3,3
Marco Moderato,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maria Araceli Morales Muñoz,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maria Inmaculada Villanueva Baxarias,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Maria Segarra Queralt,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mariana Lourenço Seabra,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1
Marina Estevez Almenzar,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marina Palma Lorita,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mario Gomez Barea,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marta Bellés Muñoz,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marta Manzanares Altes,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Marta Saiz Vivó,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Martín Rocamora Martinez,1,1,3,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1
Mateu Busquets Vidal,1,1,2,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1
Mehdi Dabirnia,4,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2
Miguel Calvo Fullana,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Miguel Ángel Cordobés Aranda,1,1,4,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1
Miquel Oliver Riera,3,2,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Miquel Vázquez Rius,2,1,2,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Miriam Calvera Isabal,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mohamed Mostafa Ali Ben Zaghta,4,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2
Mykola Trokhymovych,4,3,3,1,3,1,1,3,1,1,3,3,1,3,3,1,3,3
Narcis Parés Burguès,4,2,5,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2
Nazif Can Tamer,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nicholas Matthew Evans,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1
Nicolas Felipe Gutierrez Paez,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nikitas Paslis,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Nneka Maureen Okolo,2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
Nora Elsa Celis,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Núria Mirada Costa,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Oriol Bernat Marí,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oriol Julià Carrillo,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Pablo Arias Martínez,4,3,6,1,2,2,1,2,3,2,3,3,2,3,3,3,3,3
Pablo Luis Garcia Garcia,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Pathiranage Ishari Uthpala Amarasinghe,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Patricia Carbajo Flores,4,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Patricia Santos Rodíguez,4,3,4,3,2,2,2,3,3,3,2,2,2,3,3,3,2,3
Pau Pomés Arnau,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paula Bassagañas Òdena,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paula García Royo,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pedro Ramoneda Franco,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pratyush Pal Bera,4,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2
Pritam Mishra,4,2,2,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2
Rafael Pous Andrés,2,2,8,0,0,2,1,0,2,1,2,1,2,2,1,2,2,2
Rafael Ramírez Meléndez,1,1,4,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1
Rahul Methari,2,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Raimon Izard Serrano,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ralph Gregor Andrzejak,1,1,4,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1
Ramon Francisco González Castillo,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Rebeca Calderón Morón,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ricard Borrell Pol,2,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Ricardo Baeza Yates,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1
Ricardo Marques,1,1,3,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1
Ruben Moreno Bote,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Santiago Esteban Amaya Corredor,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Santiago Julio Sanchez Devesa,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1
Sena Beste Ercan,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sergi Jordà Puig,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sergi Laut Turon,2,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Sergio Calo Oliveira,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1
Shaddai Damaris Borja Mejia,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shatha Nawaf Mohammad Alkhasawneh,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Silvia Butti,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Simone Tassani,4,3,6,1,2,1,2,2,1,2,2,3,2,2,3,2,3,3
Sofia Tseranidou,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Teodora Sandra Buda,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tomàs Winand Molné,2,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
Valentin Vincent Eric Comte,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vanesa Daza Fernández,4,2,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
Veronica Moreno Oliver,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vicenç Gómez Cerdà,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Victor Emilio Ubieto Nogales,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1
Victoria Rey Alzueta,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vladimir Estivill Castro,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Víctor Dalmau Lloret,4,2,6,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2
Xavier Armengol Nogués,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1
Xavier Eduardo Lizarraga Seijas,4,2,4,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2
Xavier Juanola Molet,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Xavier Oliva Galvan,1,1,4,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1
Yusuf Baran Tanriverdi,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1
Àngel Lozano Solsona,1,2,7,0,0,2,0,0,2,0,2,0,2,2,0,2,2,2
