ProfessorNom,GEI,GEMCD,GEXT,GESA
Jacopo D'Ignazi,0,1,0,0
Jacopo Epifanio,1,1,1,1
Javier Alejandro Galadí Garcia,1,1,1,2
Javier Segovia Aguas,1,1,1,1
Jesus Roberto Sanchez Reina,1,1,1,1
Joan Antoni Melia Segui,1,1,1,1
Jordi Bonastre Muñoz,3,3,2,2
Jordi Bosch Garcia,1,1,1,1
Jordi Taixés Ventosa,4,4,4,4
Jorge Augusto Saldivar Galli,1,1,1,1
Jorge Augusto Saldivar Gallí,0,1,0,0
Jorge Croissier Brito,2,2,2,2
Jorge Mateos Arriola,1,1,1,1
Jose Antonio Ciutad Cuevas,1,1,0,0
Josep Blat Gimeno,1,1,0,1
Josep Font Segura,1,1,3,3
Josep Prados Oliver,1,1,1,1
Justo Montoya Galvez,1,1,1,1
Jyoti Narang,2,1,1,1
Khadija el Aadmi Laamech,2,1,1,1
Luca Telloli,1,1,0,0
Ludovic Vincent Schwartz,1,1,1,1
Manuel Portela Charnejovsky,1,1,1,1
Marc Grau Leguia,1,1,1,1
Marc Yoshimi Beardsley,1,1,1,1
Marcelo Sánchez Ortega,2,2,2,2
Marco Moderato,1,1,1,1
Maria Araceli Morales Muñoz,1,1,1,1
Maria Inmaculada Villanueva Baxarias,2,2,2,2
Maria Segarra Queralt,1,1,1,1
Mariana Lourenço Seabra,0,0,0,1
Marina Estevez Almenzar,1,1,1,1
Marina Palma Lorita,1,1,1,1
Mario Gomez Barea,1,1,1,1
Marta Bellés Muñoz,1,1,1,1
Marta Manzanares Altes,3,3,3,3
Marta Saiz Vivó,1,1,1,1
Martín Rocamora Martinez,0,0,0,1
Mateu Busquets Vidal,0,1,0,0
Mehdi Dabirnia,1,1,2,2
Miguel Calvo Fullana,1,1,1,1
Miguel Ángel Cordobés Aranda,0,1,0,0
Miquel Oliver Riera,0,2,2,2
Miquel Vázquez Rius,1,1,0,0
Miriam Calvera Isabal,1,1,1,1
Mohamed Mostafa Ali Ben Zaghta,1,1,2,2
Mykola Trokhymovych,1,3,1,1
Narcis Parés Burguès,2,1,1,1
Nazif Can Tamer,1,1,1,1
Nicholas Matthew Evans,1,0,0,0
Nicolas Felipe Gutierrez Paez,1,1,1,1
Nikitas Paslis,1,1,1,0
Nneka Maureen Okolo,0,1,1,0
Nora Elsa Celis,2,2,2,2
Núria Mirada Costa,1,1,1,0
Oriol Bernat Marí,1,1,1,1
Oriol Julià Carrillo,2,2,2,2
Pablo Arias Martínez,1,2,2,1
Pablo Luis Garcia Garcia,1,1,0,1
Pathiranage Ishari Uthpala Amarasinghe,1,1,1,1
Patricia Carbajo Flores,1,2,2,2
Patricia Santos Rodíguez,3,2,2,2
Pau Pomés Arnau,1,1,1,1
Paula Bassagañas Òdena,1,1,1,1
Paula García Royo,1,1,1,1
Pedro Ramoneda Franco,1,1,1,1
Pratyush Pal Bera,2,2,1,1
Pritam Mishra,1,1,1,2
Rafael Pous Andrés,0,0,2,1
Rafael Ramírez Meléndez,1,0,0,0
Rahul Methari,1,1,0,0
Raimon Izard Serrano,1,1,1,1
Ralph Gregor Andrzejak,0,1,0,0
Ramon Francisco González Castillo,1,1,1,0
Rebeca Calderón Morón,0,1,1,1
Ricard Borrell Pol,1,1,0,0
Ricardo Baeza Yates,0,1,0,0
Ricardo Marques,0,0,0,1
Ruben Moreno Bote,1,1,1,1
Santiago Esteban Amaya Corredor,1,1,1,1
Santiago Julio Sanchez Devesa,0,0,1,0
Sena Beste Ercan,1,1,1,1
Sergi Jordà Puig,1,1,1,1
Sergi Laut Turon,1,1,0,0
Sergio Calo Oliveira,1,0,0,0
Shaddai Damaris Borja Mejia,1,1,1,1
Shatha Nawaf Mohammad Alkhasawneh,1,1,1,0
Silvia Butti,1,1,1,1
Simone Tassani,1,2,1,2
Sofia Tseranidou,1,1,1,1
Teodora Sandra Buda,1,1,1,1
Tomàs Winand Molné,1,1,0,0
Valentin Vincent Eric Comte,1,1,1,1
Vanesa Daza Fernández,2,2,2,1
Veronica Moreno Oliver,1,1,1,1
Vicenç Gómez Cerdà,1,1,1,1
Victor Emilio Ubieto Nogales,0,0,0,1
Victoria Rey Alzueta,1,1,1,1
Vladimir Estivill Castro,1,1,1,1
Víctor Dalmau Lloret,2,2,1,1
Xavier Armengol Nogués,0,1,0,0
Xavier Eduardo Lizarraga Seijas,1,1,1,2
Xavier Juanola Molet,1,1,1,1
Xavier Oliva Galvan,0,0,1,0
Yusuf Baran Tanriverdi,0,0,0,1
Àngel Lozano Solsona,0,0,2,0
